"district","district_num","state_code","pct_any_contraception","pct_below_15","pct_births_assisted","pct_births_checkup_2days","pct_births_csection","pct_births_private_csection","pct_births_public_csection","pct_breastfed_adeq_diet","pct_diarrhea_2weeks","pct_fem_sterilization","pct_female_ever_school","pct_has_insurance","pct_health_worker_spoke_contra","pct_hh_clean_fuel","pct_hh_clean_water","pct_hh_electrified","pct_hh_iodized_salt","pct_hh_sanitation","pct_home_births_taken_facility","pct_home_delivery_skilled_personnel","pct_institutional_births","pct_institutional_births_public","pct_kids_adeq_diet","pct_kids_anaemic","pct_kids_ari","pct_kids_ari_facility","pct_kids_bcg","pct_kids_breastfed","pct_kids_diarrhea_facility","pct_kids_diarrhea_ors","pct_kids_diarrhea_zinc","pct_kids_dpt","pct_kids_food_breastmilk","pct_kids_fully_immunized","pct_kids_hep_vacc","pct_kids_measles_vacc","pct_kids_only_breastfed","pct_kids_polio_vacc","pct_kids_severely_wasted","pct_kids_stunted","pct_kids_u5_registered_birth","pct_kids_underweight","pct_kids_vacc_private","pct_kids_vacc_public","pct_kids_vitamin_a","pct_kids_wasted","pct_literate_men","pct_literate_women","pct_male_sterilization","pct_men_anaemic","pct_men_bmi_underweight","pct_men_high_bp","pct_men_high_sugar","pct_men_medium_bp","pct_men_overweight","pct_men_very_high_bp","pct_men_very_high_sugar","pct_modern_contraception","pct_moms_1trimester_checkup","pct_moms_fin_assistance","pct_moms_folic_acid","pct_moms_full_antenatal","pct_moms_mcp_card","pct_moms_postnatal","pct_moms_prev_tetanus","pct_mothers_4_antenatal_visits","pct_nonbreastfed_adeq_diet","pct_nonpreg_women_anaemic","pct_preg_women_anaemic","pct_teen_women_mothers","pct_unmet_need_contraception","pct_unmet_need_spacing","pct_users_told_side_effects","pct_using_condoms","pct_using_iud","pct_using_pill","pct_women_10yrs_school","pct_women_anaemic","pct_women_bmi_underweight","pct_women_breast_exam","pct_women_cervix_exam","pct_women_high_bp","pct_women_high_sugar","pct_women_medium_bp","pct_women_oral_exam","pct_women_overweight","pct_women_very_high_bp","pct_women_very_high_sugar","pct_young_men_married_pre21","pct_young_women_married_pre18","pocket_expense_birth","sex_ratio","sex_ratio_5years"
"Adilabad",532,"TG",48.7,26.2,78,30.4,39.9,78,37.1,5.4,12.2,45.3,52.6,65.5,11.1,40.4,85,96.5,97.1,30.7,10.4,6.9,70.8,37.6,6.3,67.8,3.2,72.7,88.7,20.8,65.1,61.1,45.2,81.5,NA,70,71.4,84.3,54,80.4,4.9,38.3,62.6,35.8,6.5,90.8,75.5,22.1,73.5,50.1,1.6,28.8,25.9,5.5,4.6,6.3,8.6,1,2.8,48.1,72.6,8.8,41.6,30.6,82.8,56.9,80.7,68.3,NA,63.4,NA,12.9,7.9,4.4,14.8,0.8,0.1,0.3,28.3,63.7,35.1,9.8,33.9,2.3,6.5,7.2,9,15.8,1,2.6,NA,29.9,4962,1007,795
"Agra",146,"UP",60.8,32.7,77.7,32,16.3,34.9,5.6,3.2,13.7,20.2,67.4,5,12.1,46.7,71.3,94.5,94.8,42.8,0,1.6,78.7,37.9,4,51.7,2.8,72.3,94.8,18.6,54.2,26.4,2.8,74.9,32.9,60.9,57.8,83.4,46.1,70.6,5.2,44.7,66.9,34.8,11.1,83.8,34.2,14.9,86.3,63,0,17.9,18.1,1.3,4.9,7.5,18.9,0.6,3.4,41.8,61.4,34.6,13.5,9.5,68.3,65.5,89.3,37.2,6.6,43.3,39.6,5.8,10.2,4.3,53.1,17.3,1.6,2.4,36.6,43.1,19.3,4.7,16.3,1.1,3.2,4.1,7.7,21.5,0.3,1.6,34.8,21.3,2348,941,991
"Ahmadabad",474,"GJ",60.2,22.1,94.6,24,40.5,49.2,28.9,7.3,9.5,28.8,83.7,34.4,29.9,83.4,95,99.2,96.4,88.5,NA,0,94.6,29.9,5.4,76,0,NA,90.4,49.8,NA,NA,NA,82.9,NA,49,46.6,76.4,NA,58.6,11.5,29.4,97.8,31,17.6,82.4,58.9,27.1,92.6,82.2,0,26.9,25.9,3.3,5.4,11.9,26.4,0.5,3.7,45.1,94.3,1.6,56.7,54.1,91.6,67.5,94.3,95.9,NA,62.9,62.7,2.7,13.4,5.2,71.8,9.1,5.3,1.9,45.9,62.9,21.5,5.2,21.8,2.3,6,7.5,16.7,30.7,0.4,2.9,42.1,19.9,2596,904,871
"Ahmednagar",522,"MH",48.4,25.8,96.2,32.8,16.7,18.9,16.5,3.9,10.1,40.3,75.4,10,18.1,57.8,86.1,92.2,94.9,50.8,NA,2.7,93.9,43.6,3.3,47.3,2.4,81.2,94,42.5,81.2,47,11.4,59.3,NA,42,38.7,76.7,NA,58.8,4.2,33.4,93.4,31.1,15.5,84.5,77.2,21.7,95.1,80.3,0,17.3,23.5,7.1,5.1,5,20.4,0.7,0.9,47.5,59.1,6.8,22.4,15.2,90.9,80.9,87,63.1,NA,46.6,35.7,13.2,12.1,4,50,3.4,2.1,1.5,44.7,46.1,22.5,28.9,52.8,1.9,4.3,4.9,14.4,18.3,0.8,2.1,NA,39,4851,905,843
"Aizawl",283,"MZ",40.9,27.6,97.7,14.7,20.7,30.5,17.7,16.6,10.2,20.4,95.9,38.1,11.7,87.5,93.3,99.7,98.8,90.9,NA,1.4,96.2,67.5,17.2,10.5,4,54.8,82.8,68,49.1,76.5,31.6,65,NA,55.3,60.2,60.4,59.7,66.3,0.8,23.7,96.9,6.7,14.9,85.2,75.5,2.3,99.3,98.7,0,6.2,5.3,6,11.1,14.6,26,0,5.2,40.9,74.8,46.6,59.8,47.8,97,75.5,89.1,76.6,NA,18.3,20.8,6.9,18.5,10.1,49.2,1.9,3.6,15,50.7,18.4,7,10.2,25.7,2.1,9.5,8.7,33.7,26.8,0.5,4.8,NA,5.7,5087,1064,902
"Ajmer",119,"RJ",68.7,29.2,88.4,26.5,10.7,27.1,8.6,0,9.1,45,64.7,14.7,14.4,50.6,86.2,98.4,96.9,69.4,0,1.3,87.2,69.5,0.6,68.7,0.8,83.9,93.8,18.5,81.4,76.7,15.6,86.2,34.1,67.1,71.7,83,54,78.5,12.2,33.5,82.6,39.6,2.6,97.4,24.1,31.6,83.8,65.1,0.1,12.7,18.7,1.6,7.1,11.3,18.5,1.1,1.7,61.7,75.2,61,9,6.2,95.4,70.4,95.2,51.4,2.9,53.2,57.6,5.6,7.9,4.5,32.7,11.4,1.3,3.5,31.3,53.4,24.7,4.8,28.4,1,5.7,5.3,7.9,16.8,0.2,1.8,36.2,35,1463,953,761
"Akola",501,"MH",67.4,24.7,94.4,34,23.7,37.1,18.7,0,11.7,51.7,85.2,16.1,19.8,43.1,97.4,93.8,98.7,46.5,NA,2.4,92,56.2,0,53.2,2.4,88.8,90.4,62.9,89.3,74.4,26.1,70.5,NA,50.8,63.2,83.5,NA,76.6,7.7,41.2,98.7,39.3,11.1,88.9,73,22.7,90.5,84.5,0.4,20,18.9,1.9,8.9,10,18,1,4.7,65.7,80.8,15.4,33.8,30.1,91,80.1,95.1,80.4,NA,38.5,45,6.5,8.3,3.6,30.1,9.9,1.2,2.2,44.9,38.7,25.1,9.7,36.2,1.6,5.3,6.9,11,20.6,1.3,2.5,6.9,13.2,1759,975,934
"Alappuzha",598,"KL",45.1,17.5,99,43.9,43.2,49.9,35.9,5.4,3.8,36.5,97.2,56,19.2,64.2,93.4,99.5,98.2,97,NA,0,99,44.1,5,24.9,1.4,88.4,NA,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,14.5,94.5,17.2,NA,NA,86.4,16.6,98.7,98.7,0.2,15.3,12,0.8,14.2,8.1,22.1,0,6.9,42.7,92.4,14.4,54.3,44.8,87.5,78.7,90.9,79.6,NA,26.6,35.3,2.1,17.7,7.2,50.2,2.6,3.1,0.3,73.8,27,12.4,36.8,57.2,0.9,10.1,5,49.5,37.7,0.4,5.8,NA,1.2,9472,1101,1112
"Aligarh",143,"UP",58.7,33.9,73.9,39.8,13.3,38.2,7,5,19.4,14.8,63.8,4.5,12.9,39.6,97.8,84.6,93.8,38.4,0.3,10,65.4,37.6,4.6,66.8,2.3,69.3,94.6,25.4,61.5,29.3,6.2,79.8,43.1,67.9,67.4,84.4,26.2,81.7,3.2,49.1,61.2,38.2,2.3,91,20.9,14.6,79.3,58.9,0.1,29.2,21.2,1.4,12,6.7,13.2,0.5,4.4,37.6,51,40.5,11.6,6.8,69.6,66,86.3,28,3,55.8,60.7,6.1,12.7,4.9,66.2,16.1,2.4,3.7,29.7,56.1,22.7,3.9,14.2,1,4.5,4.6,10.5,18.7,0.4,1.7,23.7,23.2,2073,932,880
"Alirajpur",465,"MP",30.9,40,49.9,16.5,1.6,26.7,0.8,3.5,7.8,26.7,35.9,3.3,27.8,11.7,89.1,92.5,93.9,17.6,2,2.5,50.4,45.9,3.8,74.5,1.9,63.5,82.9,25.4,70.7,76.5,45.7,37,37.1,22.6,24.6,60,58,39.5,11.3,48.6,55.6,52.4,1.6,97.5,54.8,32.9,55,27.1,0.1,48.5,35.9,1.9,7.4,9.7,8.1,0,4.4,30.9,29.7,63.9,12.6,4.8,59.3,44,68.7,21,5.3,64.4,64.1,13.5,10.9,4.8,55.9,1.8,0.6,1.8,9.6,64.4,35.8,16.4,29.4,1.2,4,7.7,22,7.2,0.8,1.3,57.9,37.9,795,1023,950
