"district","district_num","state_code","pct_female_ever_school","pct_below_15","sex_ratio","sex_ratio_5years","pct_kids_u5_registered_birth","pct_hh_electrified","pct_hh_clean_water","pct_hh_sanitation","pct_hh_clean_fuel","pct_hh_iodized_salt","pct_has_insurance","pct_literate_women","pct_literate_men","pct_women_10yrs_school","pct_young_women_married_pre18","pct_young_men_married_pre21","pct_teen_women_mothers","pct_any_contraception","pct_modern_contraception","pct_fem_sterilization","pct_male_sterilization","pct_using_iud","pct_using_pill","pct_using_condoms","pct_unmet_need_contraception","pct_unmet_need_spacing","pct_health_worker_spoke_contra","pct_users_told_side_effects","pct_moms_1trimester_checkup","pct_mothers_4_antenatal_visits","pct_moms_prev_tetanus","pct_moms_folic_acid","pct_moms_full_antenatal","pct_moms_mcp_card","pct_moms_postnatal","pct_moms_fin_assistance","pocket_expense_birth","pct_home_births_taken_facility","pct_births_checkup_2days","pct_institutional_births","pct_institutional_births_public","pct_home_delivery_skilled_personnel","pct_births_assisted","pct_births_csection","pct_births_private_csection","pct_births_public_csection","pct_kids_fully_immunized","pct_kids_bcg","pct_kids_polio_vacc","pct_kids_dpt","pct_kids_measles_vacc","pct_kids_hep_vacc","pct_kids_vitamin_a","pct_kids_vacc_public","pct_kids_vacc_private","pct_diarrhea_2weeks","pct_kids_diarrhea_ors","pct_kids_diarrhea_zinc","pct_kids_diarrhea_facility","pct_kids_ari","pct_kids_ari_facility","pct_kids_breastfed","pct_kids_only_breastfed","pct_kids_food_breastmilk","pct_breastfed_adeq_diet","pct_nonbreastfed_adeq_diet","pct_kids_adeq_diet","pct_kids_stunted","pct_kids_wasted","pct_kids_severely_wasted","pct_kids_underweight","pct_women_underweight","pct_men_underweight","pct_women_overweight","pct_men_overweight","pct_kids_anaemic","pct_nonpreg_women_anaemic","pct_preg_women_anaemic","pct_women_anaemic","pct_men_anaemic","pct_women_high_sugar","pct_women_very_high_sugar","pct_men_high_sugar","pct_men_very_high_sugar","pct_women_medium_bp","pct_women_high_bp","pct_women_very_high_bp","pct_men_medium_bp","pct_men_high_bp","pct_men_very_high_bp","pct_women_cervix_exam","pct_women_breast_exam","pct_women_oral_exam"
"Adilabad",532,"TG",52.6,26.2,1007,795,62.6,96.5,85,30.7,40.4,97.1,65.5,50.1,73.5,28.3,29.9,NA,12.9,48.7,48.1,45.3,1.6,0.1,0.3,0.8,7.9,4.4,11.1,14.8,72.6,68.3,80.7,41.6,30.6,82.8,56.9,8.8,4962,10.4,30.4,70.8,37.6,6.9,78,39.9,78,37.1,70,88.7,80.4,81.5,84.3,71.4,75.5,90.8,6.5,12.2,61.1,45.2,65.1,3.2,72.7,20.8,54,NA,5.4,NA,6.3,38.3,22.1,4.9,35.8,35.1,25.9,15.8,8.6,67.8,63.4,NA,63.7,28.8,6.5,2.6,4.6,2.8,7.2,2.3,1,6.3,5.5,1,33.9,9.8,9
"Agra",146,"UP",67.4,32.7,941,991,66.9,94.5,71.3,42.8,46.7,94.8,5,63,86.3,36.6,21.3,34.8,5.8,60.8,41.8,20.2,0,1.6,2.4,17.3,10.2,4.3,12.1,53.1,61.4,37.2,89.3,13.5,9.5,68.3,65.5,34.6,2348,0,32,78.7,37.9,1.6,77.7,16.3,34.9,5.6,60.9,94.8,70.6,74.9,83.4,57.8,34.2,83.8,11.1,13.7,26.4,2.8,54.2,2.8,72.3,18.6,46.1,32.9,3.2,6.6,4,44.7,14.9,5.2,34.8,19.3,18.1,21.5,18.9,51.7,43.3,39.6,43.1,17.9,3.2,1.6,4.9,3.4,4.1,1.1,0.3,7.5,1.3,0.6,16.3,4.7,7.7
"Ahmadabad",474,"GJ",83.7,22.1,904,871,97.8,99.2,95,88.5,83.4,96.4,34.4,82.2,92.6,45.9,19.9,42.1,2.7,60.2,45.1,28.8,0,5.3,1.9,9.1,13.4,5.2,29.9,71.8,94.3,95.9,94.3,56.7,54.1,91.6,67.5,1.6,2596,NA,24,94.6,29.9,0,94.6,40.5,49.2,28.9,49,90.4,58.6,82.9,76.4,46.6,58.9,82.4,17.6,9.5,NA,NA,NA,0,NA,49.8,NA,NA,7.3,NA,5.4,29.4,27.1,11.5,31,21.5,25.9,30.7,26.4,76,62.9,62.7,62.9,26.9,6,2.9,5.4,3.7,7.5,2.3,0.4,11.9,3.3,0.5,21.8,5.2,16.7
"Ahmednagar",522,"MH",75.4,25.8,905,843,93.4,92.2,86.1,50.8,57.8,94.9,10,80.3,95.1,44.7,39,NA,13.2,48.4,47.5,40.3,0,2.1,1.5,3.4,12.1,4,18.1,50,59.1,63.1,87,22.4,15.2,90.9,80.9,6.8,4851,NA,32.8,93.9,43.6,2.7,96.2,16.7,18.9,16.5,42,94,58.8,59.3,76.7,38.7,77.2,84.5,15.5,10.1,47,11.4,81.2,2.4,81.2,42.5,NA,NA,3.9,NA,3.3,33.4,21.7,4.2,31.1,22.5,23.5,18.3,20.4,47.3,46.6,35.7,46.1,17.3,4.3,2.1,5.1,0.9,4.9,1.9,0.8,5,7.1,0.7,52.8,28.9,14.4
"Aizawl",283,"MZ",95.9,27.6,1064,902,96.9,99.7,93.3,90.9,87.5,98.8,38.1,98.7,99.3,50.7,5.7,NA,6.9,40.9,40.9,20.4,0,3.6,15,1.9,18.5,10.1,11.7,49.2,74.8,76.6,89.1,59.8,47.8,97,75.5,46.6,5087,NA,14.7,96.2,67.5,1.4,97.7,20.7,30.5,17.7,55.3,82.8,66.3,65,60.4,60.2,75.5,85.2,14.9,10.2,76.5,31.6,49.1,4,54.8,68,59.7,NA,16.6,NA,17.2,23.7,2.3,0.8,6.7,7,5.3,26.8,26,10.5,18.3,20.8,18.4,6.2,9.5,4.8,11.1,5.2,8.7,2.1,0.5,14.6,6,0,25.7,10.2,33.7
"Ajmer",119,"RJ",64.7,29.2,953,761,82.6,98.4,86.2,69.4,50.6,96.9,14.7,65.1,83.8,31.3,35,36.2,5.6,68.7,61.7,45,0.1,1.3,3.5,11.4,7.9,4.5,14.4,32.7,75.2,51.4,95.2,9,6.2,95.4,70.4,61,1463,0,26.5,87.2,69.5,1.3,88.4,10.7,27.1,8.6,67.1,93.8,78.5,86.2,83,71.7,24.1,97.4,2.6,9.1,76.7,15.6,81.4,0.8,83.9,18.5,54,34.1,0,2.9,0.6,33.5,31.6,12.2,39.6,24.7,18.7,16.8,18.5,68.7,53.2,57.6,53.4,12.7,5.7,1.8,7.1,1.7,5.3,1,0.2,11.3,1.6,1.1,28.4,4.8,7.9
"Akola",501,"MH",85.2,24.7,975,934,98.7,93.8,97.4,46.5,43.1,98.7,16.1,84.5,90.5,44.9,13.2,6.9,6.5,67.4,65.7,51.7,0.4,1.2,2.2,9.9,8.3,3.6,19.8,30.1,80.8,80.4,95.1,33.8,30.1,91,80.1,15.4,1759,NA,34,92,56.2,2.4,94.4,23.7,37.1,18.7,50.8,90.4,76.6,70.5,83.5,63.2,73,88.9,11.1,11.7,74.4,26.1,89.3,2.4,88.8,62.9,NA,NA,0,NA,0,41.2,22.7,7.7,39.3,25.1,18.9,20.6,18,53.2,38.5,45,38.7,20,5.3,2.5,8.9,4.7,6.9,1.6,1.3,10,1.9,1,36.2,9.7,11
"Alappuzha",598,"KL",97.2,17.5,1101,1112,94.5,99.5,93.4,97,64.2,98.2,56,98.7,98.7,73.8,1.2,NA,2.1,45.1,42.7,36.5,0.2,3.1,0.3,2.6,17.7,7.2,19.2,50.2,92.4,79.6,90.9,54.3,44.8,87.5,78.7,14.4,9472,NA,43.9,99,44.1,0,99,43.2,49.9,35.9,NA,NA,NA,NA,NA,NA,86.4,NA,NA,3.8,NA,NA,NA,1.4,88.4,60.2,NA,NA,5.4,NA,5,14.5,16.6,3.5,17.2,12.4,12,37.7,22.1,24.9,26.6,35.3,27,15.3,10.1,5.8,14.2,6.9,5,0.9,0.4,8.1,0.8,0,57.2,36.8,49.5
"Aligarh",143,"UP",63.8,33.9,932,880,61.2,84.6,97.8,38.4,39.6,93.8,4.5,58.9,79.3,29.7,23.2,23.7,6.1,58.7,37.6,14.8,0.1,2.4,3.7,16.1,12.7,4.9,12.9,66.2,51,28,86.3,11.6,6.8,69.6,66,40.5,2073,0.3,39.8,65.4,37.6,10,73.9,13.3,38.2,7,67.9,94.6,81.7,79.8,84.4,67.4,20.9,91,2.3,19.4,29.3,6.2,61.5,2.3,69.3,25.4,26.2,43.1,5,3,4.6,49.1,14.6,3.2,38.2,22.7,21.2,18.7,13.2,66.8,55.8,60.7,56.1,29.2,4.5,1.7,12,4.4,4.6,1,0.4,6.7,1.4,0.5,14.2,3.9,10.5
"Alirajpur",465,"MP",35.9,40,1023,950,55.6,92.5,89.1,17.6,11.7,93.9,3.3,27.1,55,9.6,37.9,57.9,13.5,30.9,30.9,26.7,0.1,0.6,1.8,1.8,10.9,4.8,27.8,55.9,29.7,21,68.7,12.6,4.8,59.3,44,63.9,795,2,16.5,50.4,45.9,2.5,49.9,1.6,26.7,0.8,22.6,82.9,39.5,37,60,24.6,54.8,97.5,1.6,7.8,76.5,45.7,70.7,1.9,63.5,25.4,58,37.1,3.5,5.3,3.8,48.6,32.9,11.3,52.4,35.8,35.9,7.2,8.1,74.5,64.4,64.1,64.4,48.5,4,1.3,7.4,4.4,7.7,1.2,0.8,9.7,1.9,0,29.4,16.4,22
